startip,endip,country,carrier
22118400,22126847,陕西省汉中市,电信
22126848,22127103,陕西省汉中市洋县,电信
22127104,22132223,陕西省汉中市,电信
22132224,22132479,陕西省汉中市西乡县,电信
22132480,22136063,陕西省汉中市,电信
22136064,22136319,陕西省汉中市勉县,电信
22136320,22147839,陕西省汉中市,电信
22147840,22148095,陕西省汉中市勉县,电信
22148096,22151167,陕西省汉中市,电信
22151168,22159359,陕西省商洛市,电信
22159360,22159615,陕西省西安市,电信
22159616,22164735,陕西省安康市,电信
22164736,22183935,陕西省西安市,电信
22183936,22188287,陕西省宝鸡市,电信
22188288,22188543,陕西省宝鸡市岐山县,电信
22188544,22216703,陕西省宝鸡市,电信
22216704,22216766,陕西省西安市,电信
22216767,22216767,陕西省西安市,青田文化艺术传播有限公司
22216768,22254277,陕西省西安市,电信
22254278,22254278,陕西省西安市雁塔区,西安外国语大学
22254279,22307386,陕西省西安市,电信
22307387,22307387,陕西省西安市莲湖区,倩倩网络
22307388,22307532,陕西省西安市,电信
22307533,22307533,陕西省西安市莲湖区,倩倩网络
22307534,22347821,陕西省西安市,电信
22347822,22347822,陕西省西安市临潼区,海岸网络
22347823,22352263,陕西省西安市,电信
22352264,22352274,陕西省西安市,西北大学
22352275,22355809,陕西省西安市,电信
22355810,22355810,陕西省西安市长安区,赢向未来网络会所(韦曲街道何家营新村)
22355811,22357473,陕西省西安市,电信
22357474,22357474,陕西省西安市,BOBO网尚
22357475,22357781,陕西省西安市,电信
22357782,22357782,陕西省西安市,大世界网吧(徐家庄)
22357783,22360421,陕西省西安市,电信
22360422,22360422,陕西省西安市雁塔区,逐峰电竞
22360423,22361137,陕西省西安市,电信
22361138,22361138,陕西省西安市,达内科技有限公司省和平门分公司
22361139,22396403,陕西省西安市,电信
22396404,22396404,陕西省西安市雁塔区,鱼化寨和合轩网吧
22396405,22405375,陕西省西安市,电信
22405376,22405631,陕西省西安市户县,电信
22405632,22417407,陕西省西安市,电信
22417408,22417663,陕西省西安市周至县,电信
22417664,22431231,陕西省西安市,电信
22431232,22431487,陕西省延安市延长县,电信
22431488,22445055,陕西省西安市,电信
22445056,22445567,陕西省咸阳市,电信
